what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264422276897
java.specification.version,sysinfo,,,"1.6",1264422276897
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1264422276897
java.version,sysinfo,,,"1.6.0_17",1264422276897
java.vm.info,sysinfo,,,"mixed mode",1264422276897
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1264422276897
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1264422276897
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1264422276897
java.vm.specification.version,sysinfo,,,"1.0",1264422276897
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1264422276897
java.vm.version,sysinfo,,,"14.3-b01",1264422276897
started,bundle,org.eclipse.mylyn.bugzilla.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.core",1264422277324
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.bugzilla.ui",1264422277363
started,bundle,org.eclipse.ui.forms,3.4.1.v20090714_35x,"org.eclipse.ui.forms",1264422277429
started,bundle,org.eclipse.mylyn.context.core,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.core",1264422277515
started,bundle,org.eclipse.mylyn.context.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.context.ui",1264422277517
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.tasks.ui",1264422277656
started,bundle,org.eclipse.mylyn.team.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.team.ui",1264422277726
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1264422277744
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1264422277840
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.2.v20090912-0400-e3x,"org.eclipse.mylyn.monitor.ui",1264422277856
activated,view,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.PackageExplorer",1264422293411
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264422305950
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1264422564159
opened,editor,org.eclipse.jdt.ui,3.5.1.r351_v20090821-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1264422566984
